customer_id,gender,age,city,signup_date,order_id,order_date,restaurant_name,dish_name,category,quantity,price,payment_method,order_frequency,last_order_date,loyalty_points,churned,rating,rating_date,delivery_status,normalized_price
C5663,Male,Adult,Peshawar,1/14/2024,O9663,2023-08-23,McDonald's,Burger,Italian,5,1478.27,Cash,38,2025-07-19,238,Active,3,10/14/2024,Cancelled,0.9845104133176151
C2831,Male,Adult,Multan,7/7/2024,O6831,2023-08-23,KFC,Burger,Italian,3,956.04,Wallet,24,2024-11-25,81,Active,2,8/21/2025,Delayed,0.6113957060693744
C2851,Other,Senior,Multan,6/20/2025,O6851,2023-08-23,Pizza Hut,Fries,Italian,2,882.51,Cash,42,2025-05-10,82,Inactive,3,9/19/2024,Delayed,0.5588611438573928
C1694,Female,Senior,Peshawar,9/5/2023,O5694,2023-08-23,Subway,Pizza,Dessert,4,231.3,Card,27,2025-07-24,45,Inactive,2,6/29/2025,Delayed,0.09359482727824814
C4339,Other,Senior,Lahore,12/29/2023,O8339,2023-08-24,KFC,Sandwich,Dessert,1,1156.69,Cash,35,2024-12-21,418,Inactive,3,3/6/2025,Cancelled,0.7547529739577752
C6543,Other,Adult,Karachi,9/28/2023,O10543,2023-08-24,Burger King,Pizza,Fast Food,5,1213.62,Cash,45,2024-10-10,418,Inactive,4,6/1/2025,Delivered,0.7954274282856427
C6423,Male,Adult,Lahore,4/8/2025,O10423,2023-08-24,McDonald's,Pasta,Continental,5,672.91,Wallet,31,2025-05-25,347,Active,1,3/4/2025,Cancelled,0.4091094202121959
C4621,Male,Adult,Peshawar,2/5/2024,O8621,2023-08-24,Pizza Hut,Pizza,Chinese,2,271.74,Cash,14,2025-05-01,429,Active,2,9/30/2024,Delivered,0.12248776479834245
C5146,Other,Senior,Karachi,12/17/2024,O9146,2023-08-24,KFC,Pizza,Dessert,5,596.96,Wallet,1,2025-05-16,24,Active,4,10/27/2024,Delayed,0.354845854320723
C3579,Male,Adult,Karachi,10/13/2023,O7579,2023-08-24,Pizza Hut,Pizza,Continental,2,1443.25,Cash,15,2025-02-23,270,Inactive,3,10/11/2024,Delayed,0.959489872468117
C5535,Male,Adult,Lahore,7/30/2025,O9535,2023-08-24,Subway,Sandwich,Continental,2,645.52,Cash,32,2025-04-08,133,Active,4,12/5/2024,Delayed,0.389540242203408
C3894,Female,Senior,Multan,1/24/2025,O7894,2023-08-24,Burger King,Burger,Fast Food,1,126.53,Wallet,45,2024-09-26,48,Inactive,2,8/20/2025,Cancelled,0.018740399385560685
C4071,Male,Senior,Islamabad,12/27/2024,O8071,2023-08-24,Subway,Pizza,Italian,1,465.75,Card,29,2024-12-26,394,Active,4,4/16/2025,Cancelled,0.26110098953309757
C4231,Female,Senior,Multan,4/11/2025,O8231,2023-08-24,Burger King,Sandwich,Continental,3,796.91,Wallet,39,2024-11-12,5,Inactive,5,2/27/2025,Delivered,0.4977029971778658
C3914,Male,Teenager,Islamabad,11/29/2023,O7914,2023-08-24,KFC,Pizza,Fast Food,4,1140.76,Wallet,23,2025-04-22,492,Inactive,5,4/19/2025,Delayed,0.743371557175008
